TIME_FIELD,QUANTITY,STORE_SALES,FAM_SALES,TEMPERATURE,HUMIDITY_MAX_PERCENT,Margin_Unitaire,Unit_price,day,week_day,week,month
2016-01-02,392.0,2522783.1201,2593.8399,25.0,90.0,0.4048420918877551,2.39,2.0,5.0,53.0,1.0
2016-01-03,79.0,472038.43,486.45,25.0,85.0,0.4048421518987341,2.3900000001265824,3.0,6.0,53.0,1.0
2016-01-04,399.0,1987009.57920001,2409.19000001,25.0,86.0,0.40484220553884714,2.3900000000250627,4.0,0.0,1.0,1.0
2016-01-05,456.0,2224192.13174001,2542.13000001,23.0,86.0,0.404842280745614,2.3899999999999997,5.0,1.0,1.0,1.0
2016-01-06,639.0,2501014.439,2747.09000001,23.0,86.0,0.40484222225352107,2.3900000000156494,6.0,2.0,1.0,1.0
2016-01-07,526.0,2240268.8509,2489.46000001,24.0,88.0,0.40484226237642584,2.3900000000190116,7.0,3.0,1.0,1.0
2016-01-08,448.0,2401188.94962001,2527.7,23.0,89.0,0.40484223216517856,2.3900000000223214,8.0,4.0,1.0,1.0
2016-01-09,408.0,2576818.42051001,2546.1002,23.0,88.0,0.404842132377451,2.39000000002451,9.0,5.0,1.0,1.0
2016-01-10,85.0,451233.7008,497.11000001,24.0,89.0,0.41084211776470586,2.3900000001176473,10.0,6.0,1.0,1.0
2016-01-11,426.0,1907705.8512,2180.22,24.0,90.0,0.41084223007042253,2.39,11.0,0.0,2.0,1.0
2016-01-12,411.0,1843802.4807,2215.29,22.0,89.0,0.4108422141119221,2.39,12.0,1.0,2.0,1.0
2016-01-13,344.0,1736779.56806,1933.47000001,23.0,90.0,0.4108421511918605,2.39,13.0,2.0,2.0,1.0
2016-01-14,386.0,1764300.45860001,1982.98000001,23.0,89.0,0.4108422020984456,2.39,14.0,3.0,2.0,1.0
2016-01-15,352.0,2098369.8902,2171.77,23.0,90.0,0.4108421590909091,2.39,15.0,4.0,2.0,1.0
2016-01-16,412.0,2369230.15026001,2609.41,23.0,88.0,0.41084220873786403,2.3899999999999997,16.0,5.0,2.0,1.0
2016-01-17,79.0,420571.9298,447.89,23.0,88.0,0.4108422787341773,2.3900000001265824,17.0,6.0,2.0,1.0
2016-01-18,361.0,1603772.7698,2023.12,23.0,88.0,0.41084213299168976,2.3899999999999997,18.0,0.0,3.0,1.0
2016-01-19,309.0,1613614.46007001,1873.53,24.0,86.0,0.41084207122977345,2.39,19.0,1.0,3.0,1.0
2016-01-20,315.0,1523836.94020001,1855.96000001,24.0,85.0,0.4108421270476191,2.3900000000317463,20.0,2.0,3.0,1.0
2016-01-21,273.0,1573988.40967,1745.06,24.0,89.0,0.4108421978754579,2.3900000000366304,21.0,3.0,3.0,1.0
2016-01-22,342.0,2041574.71145001,2156.28000001,24.0,86.0,0.4108421930116959,2.39,22.0,4.0,3.0,1.0
2016-01-23,400.0,2414112.659,2652.58,23.0,90.0,0.4108422500500001,2.39,23.0,5.0,3.0,1.0
2016-01-24,90.0,448546.38058,566.12000001,24.0,88.0,0.4108423334444445,2.39,24.0,6.0,3.0,1.0
2016-01-25,361.0,1525611.66957,2000.36,24.0,87.0,0.4090516067036011,2.3881717451523548,25.0,0.0,4.0,1.0
2016-01-26,342.0,1622345.40093001,1942.89000001,24.0,89.0,0.4108421638011696,2.39,26.0,1.0,4.0,1.0
2016-01-27,395.0,1705618.1209,2237.29,24.0,87.0,0.41084222787341773,2.3899999999999997,27.0,2.0,4.0,1.0
2016-01-28,290.0,1573688.8494,1750.5701,23.0,87.0,0.4105719311034483,2.3897241379310343,28.0,3.0,4.0,1.0
2016-01-29,343.0,2070178.12950001,2118.62,23.0,86.0,0.4108421574927114,2.39,29.0,4.0,4.0,1.0
2016-01-30,418.0,2708102.44067,2938.16,23.0,87.0,0.41084229667464117,2.39,30.0,5.0,4.0,1.0
2016-01-31,77.0,492929.28960001,537.92,24.0,84.0,0.41084181818181814,2.3900000001298705,31.0,6.0,4.0,1.0
2016-02-01,339.0,1737899.10063001,2094.49,23.0,87.0,0.4108420944542773,2.3900000000294988,1.0,0.0,5.0,2.0
2016-02-02,359.0,1810492.45007001,2193.97010001,23.0,89.0,0.4108420613091922,2.39,2.0,1.0,5.0,2.0
2016-02-03,341.0,1820415.29080001,2245.68,24.0,86.0,0.41084214076246334,2.3900000000293256,3.0,2.0,5.0,2.0
2016-02-04,272.0,1659993.23994,1688.78,24.0,88.0,0.41084202209558823,2.390000000036765,4.0,3.0,5.0,2.0
2016-02-05,308.0,2108206.68947001,2083.39,25.0,91.0,0.4108420779220779,2.3900000000324675,5.0,4.0,5.0,2.0
2016-02-06,714.0,3400483.99043,3693.29970001,24.0,92.0,0.410185280140056,2.3893292717086836,6.0,5.0,5.0,2.0
2016-02-07,112.0,626418.05043,657.13900001,26.0,91.0,0.41084223223214283,2.390000000089286,7.0,6.0,5.0,2.0
2016-02-08,517.0,1953983.82916,2521.6715,24.0,92.0,0.4103904062088975,2.3895386847195357,8.0,0.0,6.0,2.0
2016-02-09,374.0,1823895.8908,2237.74,26.0,90.0,0.41084224601604274,2.390000000026738,9.0,1.0,6.0,2.0
2016-02-10,376.0,1680084.16067,2115.30000001,24.0,93.0,0.4108421276861702,2.39,10.0,2.0,6.0,2.0
2016-02-11,358.0,1791256.7004,2206.69000001,26.0,87.0,0.41084206706703913,2.390000000027933,11.0,3.0,6.0,2.0
2016-02-12,380.0,2293309.95945,2623.36000001,26.0,89.0,0.4108421052631579,2.390000000026316,12.0,4.0,6.0,2.0
2016-02-13,444.0,2891240.97885001,3053.5,25.0,89.0,0.4108422297747748,2.3900000000225226,13.0,5.0,6.0,2.0
2016-02-14,72.0,540202.06003001,567.07000001,25.0,88.0,0.41084180569444445,2.3900000001388886,14.0,6.0,6.0,2.0
2016-02-15,320.0,1517615.66136001,1986.20000001,25.0,90.0,0.4108422500625,2.3899999999999997,15.0,0.0,7.0,2.0
2016-02-16,294.0,1526822.56937,1980.52,25.0,88.0,0.4108421429251701,2.3899999999999997,16.0,1.0,7.0,2.0
2016-02-17,268.0,1476520.46878,1778.97000001,24.0,88.0,0.41484212690298505,2.39,17.0,2.0,7.0,2.0
2016-02-18,224.0,1364725.79964001,1547.1533,24.0,90.0,0.4148420089285714,2.390000000044643,18.0,3.0,7.0,2.0
2016-02-19,269.0,1938104.33969001,1991.12,25.0,88.0,0.41484223048327135,2.3899999999999997,19.0,4.0,7.0,2.0
2016-02-20,390.0,2490384.16917001,2856.31,24.0,88.0,0.41484217953846153,2.390000000025641,20.0,5.0,7.0,2.0
2016-02-21,72.0,470703.77066,551.62990001,24.0,89.0,0.41484208347222223,2.3900000001388886,21.0,6.0,7.0,2.0
2016-02-22,286.0,1374521.11827,1724.90000001,24.0,88.0,0.4148422727972028,2.3899999999999997,22.0,0.0,8.0,2.0
2016-02-23,243.0,1429851.47944,1730.67000001,25.0,86.0,0.4148420987654321,2.39,23.0,1.0,8.0,2.0
2016-02-24,245.0,1393520.27850001,1763.04,24.0,85.0,0.41484216330612245,2.3899999999999997,24.0,2.0,8.0,2.0
2016-02-25,275.0,1455941.92057001,1761.12,23.0,89.0,0.4148421818545454,2.39,25.0,3.0,8.0,2.0
2016-02-26,327.0,2124424.59098,2223.57000001,23.0,91.0,0.44284211015290514,2.39,26.0,4.0,8.0,2.0
2016-02-27,565.0,2889883.52852001,3716.21000001,24.0,86.0,0.4428422477876106,2.3899999999999997,27.0,5.0,8.0,2.0
2016-02-28,91.0,532302.5101,737.0299,25.0,88.0,0.44284197824175825,2.39000000010989,28.0,6.0,8.0,2.0
2016-02-29,428.0,1893929.88959001,2383.1299,24.0,90.0,0.4428422196495327,2.39,29.0,0.0,9.0,2.0
2016-03-01,403.0,1992383.89963001,2424.42000001,24.0,91.0,0.4428422084863523,2.3899999999999997,1.0,1.0,9.0,3.0
2016-03-02,423.0,2033584.93887,2419.59000001,25.0,90.0,0.4426337825295508,2.389787234042553,2.0,2.0,9.0,3.0
2016-03-03,359.0,1954044.90976,2169.26000001,25.0,91.0,0.4421055153481894,2.389247910891365,3.0,3.0,9.0,3.0
2016-03-04,361.0,2429107.99048001,2388.59000001,26.0,90.0,0.44284218842105266,2.3899999999999997,4.0,4.0,9.0,3.0
2016-03-05,763.0,3599768.2602,4047.3817,25.0,91.0,0.44100052424639574,2.388119528178244,5.0,5.0,9.0,3.0
2016-03-06,117.0,620909.54817,676.353,24.0,89.0,0.4368398291452992,2.383871794957265,6.0,6.0,9.0,3.0
2016-03-07,424.0,1891607.63086,2246.23590001,24.0,90.0,0.4428422405896226,2.390000000023585,7.0,0.0,10.0,3.0
2016-03-08,416.0,1906271.7902,2143.28290001,24.0,89.0,0.44284221158653847,2.3900000000240387,8.0,1.0,10.0,3.0
2016-03-09,494.0,1927805.47034,2457.53000001,23.0,89.0,0.44284220649797573,2.390000000020243,9.0,2.0,10.0,3.0
2016-03-10,416.0,2091465.4019,2320.0,23.0,87.0,0.4298223557932692,2.3767067307932694,10.0,3.0,10.0,3.0
2016-03-11,496.0,2557810.61947,2831.23000001,24.0,89.0,0.4296119758064516,2.376491935504032,11.0,4.0,10.0,3.0
2016-03-12,563.0,2926044.93213001,3239.28000001,23.0,89.0,0.4241929662877442,2.3709591474245113,12.0,5.0,10.0,3.0
2016-03-13,88.0,539312.78040001,507.9699,23.0,89.0,0.4130139773863636,2.3595454545454544,13.0,6.0,10.0,3.0
2016-03-14,339.0,1754879.11933,2002.02,24.0,88.0,0.2699536873156342,2.2134808259882006,14.0,0.0,11.0,3.0
2016-03-15,400.0,1696579.64829,2117.67000001,25.0,88.0,0.258268325025,2.201550000025,15.0,1.0,11.0,3.0
2016-03-16,300.0,1570494.9492,1806.25,24.0,91.0,0.25786013333333335,2.2011333333666667,16.0,2.0,11.0,3.0
2016-03-17,296.0,1633456.19950001,1845.8599,24.0,90.0,0.2935451013513513,2.237567567601351,17.0,3.0,11.0,3.0
2016-03-18,392.0,2163274.21057001,2272.41,25.0,87.0,0.27913729591836733,2.222857142882653,18.0,4.0,11.0,3.0
2016-03-19,433.0,2444988.76029001,2610.14,23.0,86.0,0.2837807852424942,2.227598152424942,19.0,5.0,11.0,3.0
